ID,Posted at,Screen name,Text
451823828071878658,2014-04-03 20:49:29 +0000,walkerabroad,"RT @rschon: Some Europeana searches bring together DPLA, Trove, DigitalNZ, indices as well. Interesting source tabs. Connecting collections. #radarctec"
451815466903011328,2014-04-03 20:16:16 +0000,lornamhughes,"RT @rschon: Some Europeana searches bring together DPLA, Trove, DigitalNZ, indices as well. Interesting source tabs. Connecting collections. #radarctec"
451813553649889280,2014-04-03 20:08:40 +0000,jillemery,RT @rschon: We spend too much time trying to find materials in online nooks and crannies. Searching distributed collectins is essential. #radarctec
451793866690404352,2014-04-03 18:50:26 +0000,libcce,"RT @tjowens: #radarctec @dancohen starting out on ""Digital Transformation of Finding Aids"" and @dpla http://t.co/qwEkNdLwW0"
451779788387389441,2014-04-03 17:54:29 +0000,cliotropic,"RT @minniedw: OK, folks, so you've got two hashtags going: #radarctec and #radtech14."
451779776521699330,2014-04-03 17:54:27 +0000,genschaffner,RT @rschon: We spend too much time trying to find materials in online nooks and crannies. Searching distributed collectins is essential. #radarctec
451779773094981633,2014-04-03 17:54:26 +0000,cliotropic,RT @genschaffner: Listening to .@dancohen I'm struck that increased scale of collaboration increases diverse depth of shared collection #radarctec #printscale
451779686138667008,2014-04-03 17:54:05 +0000,cliotropic,"FYI, the official hashtag for the Radcliffe #radarctec conference is #radtech14. @genschaffner @tjowens"
451779668019261440,2014-04-03 17:54:01 +0000,genschaffner,Listening to .@dancohen I'm struck that increased scale of collaboration increases diverse depth of shared collection #radarctec #printscale
451779589262434304,2014-04-03 17:53:42 +0000,minniedw,"OK, folks, so you've got two hashtags going: #radarctec and #radtech14."
451779527203893250,2014-04-03 17:53:27 +0000,rschon,We are moving from repositories and collections to platforms on which layers and structures can be built #radarctec
451779383158910976,2014-04-03 17:52:53 +0000,archivesnext,"RT @tjowens: Interesting to see how context, and organization is communicated in the search result page from @Europeanaeu @dancohen showed. #radarctec"
451779380789121024,2014-04-03 17:52:52 +0000,rschon,We spend too much time trying to find materials in online nooks and crannies. Searching distributed collectins is essential. #radarctec
451779325864734721,2014-04-03 17:52:39 +0000,tjowens,"Interesting to see how context, and organization is communicated in the search result page from @Europeanaeu @dancohen showed. #radarctec"
451778771730059264,2014-04-03 17:50:27 +0000,rschon,"Some Europeana searches bring together DPLA, Trove, DigitalNZ, indices as well. Interesting source tabs. Connecting collections. #radarctec"
451778646995640321,2014-04-03 17:49:57 +0000,genschaffner,.@dancohen dives into .@Europeanaeu to drive home the point that the contents of archival collections don't have national borders #radarctec
451778383572377600,2014-04-03 17:48:54 +0000,archivesnext,@genschaffner is it being streamed? #radarctec
451778218702671872,2014-04-03 17:48:15 +0000,archivesnext,"RT @rschon: Here is the ""online program"" MT @tjowens: #radarctec http://t.co/hsEMHSn2Vr"
451778075374940160,2014-04-03 17:47:41 +0000,tjowens,"#radarctec @dancohen starting out on ""Digital Transformation of Finding Aids"" and @dpla http://t.co/qwEkNdLwW0"
451777949998784513,2014-04-03 17:47:11 +0000,genschaffner,thinking about all the historians who care deeply about the digital transformation of finding aids #radarctec .@dancohen
451777853869522944,2014-04-03 17:46:48 +0000,rschon,"What's serendipity? Encounter: book literally falls on your head. Or, how to describe, establish proximity of, and analyze, items #radarctec"
451777571878096896,2014-04-03 17:45:41 +0000,rschon,Cohen says that the digital transformation of finding aids is having an impact on the work of every historian. #radarctec
451777415904497664,2014-04-03 17:45:04 +0000,tjowens,"RT @rschon: Here is the ""online program"" MT @tjowens: #radarctec http://t.co/hsEMHSn2Vr"
451777392571588608,2014-04-03 17:44:58 +0000,rschon,"Keynote speaker is @dancohen, who is celebrating the Workshop's role in conceiving the @dpla #radarctec"
451777328734285824,2014-04-03 17:44:43 +0000,genschaffner,"Next up: .@dancohen on the future of finding aids #radarctec lashing up #dh, digital/digitized materials, and special collections"
451776832032210944,2014-04-03 17:42:45 +0000,nasaylor,Diving into the debate about the future of the finding aid #radarctec
451776603908231168,2014-04-03 17:41:50 +0000,brilwil,"RT @rschon: Here is the ""online program"" MT @tjowens: #radarctec http://t.co/hsEMHSn2Vr"
451776389445074944,2014-04-03 17:40:59 +0000,genschaffner,Evidently they/we dreamt up the .@dpla at a earlier Radcliffe Institute workshop? Cool. #radarctec
451776330875809792,2014-04-03 17:40:45 +0000,rschon,"Here is the ""online program"" MT @tjowens: #radarctec http://t.co/hsEMHSn2Vr"
451776063954497536,2014-04-03 17:39:41 +0000,rschon,Today I'm at the Radcliffe Workshop on Technology and Archival Processing #radarctec Info here: http://t.co/iCD2a8Hdgt; no program online
451776003162275840,2014-04-03 17:39:27 +0000,genschaffner,"""Attacking a problem that is bigger than one institution..."" #radarctec my kind of discussion..."
451775810459164673,2014-04-03 17:38:41 +0000,tjowens,Excited to be part of awesome lineup of Radcliffe Workshop on Technology & Archival Processing. Tweets at #radarctec http://t.co/Di8BlsiCxt
451775755232763904,2014-04-03 17:38:28 +0000,nasaylor,RT @genschaffner: Nerd alert: I'm listening in this afternoon on the radcliffe workshop on technology and archival processing #radarctec
451773353612021761,2014-04-03 17:28:55 +0000,genschaffner,.@rschon let's use ##radarctec
451771997362864128,2014-04-03 17:23:32 +0000,tjowens,RT @genschaffner: Nerd alert: I'm listening in this afternoon on the radcliffe workshop on technology and archival processing #radarctec
451771949333872640,2014-04-03 17:23:20 +0000,genschaffner,"Looking forward to hearing ""is the finding aid necessary? Is the product worth the process? From @meau and @tjowens and others #radarctec"
451771497036906498,2014-04-03 17:21:33 +0000,genschaffner,That hash #radarctec? I made it up...
451771389981511680,2014-04-03 17:21:07 +0000,genschaffner,Nerd alert: I'm listening in this afternoon on the radcliffe workshop on technology and archival processing #radarctec
